query_id,timestamp,session_id,visitor_id,channel,language,visitor_type,visitor_origin,query_type,site_referenced,region_referenced,sentiment,response_time_seconds,resolved,is_emergency
QRY-002375,2026-07-02 17:45,SESS-000950,VIS-00951,text,English,domestic,West,directions,FINI Hotel Bobende,South West,positive,4.3,True,False
QRY-001113,2026-07-02 17:52,SESS-000437,VIS-00438,voice_note,French,foreign,Germany,booking_interest,Douala-Edea Wildlife Reserve,Littoral,positive,3.0,False,False
QRY-000005,2026-07-02 17:54,SESS-000003,VIS-00004,text,Pidgin,foreign,Canada,pricing,Artisanal Village & Flower Market,Littoral,positive,1.9,True,False
QRY-002233,2026-07-02 18:09,SESS-000892,VIS-00893,voice_note,French,foreign,China,transport_fare,L'Ovalie & La Fourchette,Littoral,positive,3.0,True,False
QRY-000839,2026-07-02 18:12,SESS-000330,VIS-00331,text,French,foreign,Gabon,transport_fare,Mefou Primate Sanctuary,Centre,positive,2.2,True,False
QRY-000395,2026-07-02 18:14,SESS-000172,VIS-00173,text,English,foreign,Germany,pricing,L'Ovalie & La Fourchette,Littoral,neutral,3.2,True,False
QRY-003651,2026-07-02 18:24,SESS-001449,VIS-01450,text,French,domestic,North,pricing,Rue des Artisans,West,negative,3.1,True,False
QRY-005758,2026-07-02 18:29,SESS-002301,VIS-02302,text,English,domestic,West,opening_hours,Mont Febe & Golf Club,Centre,neutral,3.7,True,False
QRY-002337,2026-07-02 18:42,SESS-000932,VIS-00933,text,French,foreign,USA,booking_interest,Chez Carimo / Lobe Shacks,South,positive,3.0,True,False
QRY-002391,2026-07-02 18:56,SESS-000956,VIS-00957,text,English,domestic,West,cultural_info,Musee Maritime de Douala,Littoral,neutral,5.7,True,False
QRY-003297,2026-07-02 19:26,SESS-001320,VIS-01321,text,French,foreign,Nigeria,directions,Chutes d'Ekom Nkam,Littoral,neutral,4.1,True,False
QRY-001103,2026-07-02 19:52,SESS-000432,VIS-00433,text,French,foreign,UK,transport_fare,Hotel Zingana,West,negative,5.2,True,False
QRY-004879,2026-07-02 20:09,SESS-001930,VIS-01931,text,French,domestic,Adamawa,cultural_info,Limbe Botanic Garden,South West,neutral,3.9,True,False
QRY-000260,2026-07-02 20:12,SESS-000118,VIS-00119,text,English,foreign,Gabon,pricing,Plage de Kribi (Tara Plage),South,neutral,2.4,True,False
QRY-001820,2026-07-02 20:18,SESS-000726,VIS-00727,text,French,domestic,North,pricing,Limbe Botanic Garden,South West,neutral,2.6,True,False
QRY-006108,2026-07-02 20:39,SESS-002437,VIS-02438,text,French,foreign,UK,general_chat,,South,neutral,1.1,True,False
QRY-004216,2026-07-02 21:03,SESS-001668,VIS-01669,voice_note,English,domestic,Far North,general_chat,,Centre,neutral,3.4,True,False
QRY-004467,2026-07-02 21:05,SESS-001756,VIS-01757,voice_note,English,domestic,South,pricing,Chez Wou & La Salsa,Centre,positive,2.3,True,False
QRY-001494,2026-07-02 21:22,SESS-000598,VIS-00599,text,English,domestic,North West,cultural_info,Bimbia Slave Trade Port,South West,positive,4.0,True,False
QRY-001374,2026-07-02 21:29,SESS-000545,VIS-00546,text,English,domestic,East,booking_interest,Mount Cameroon (Upper Farms),South West,negative,3.3,True,False
QRY-004862,2026-07-02 21:43,SESS-001922,VIS-01923,voice_note,French,domestic,Far North,pricing,Mvog-Betsi Zoo & Botanical Garden,Centre,positive,3.1,True,False
QRY-004076,2026-07-02 21:45,SESS-001613,VIS-01614,text,French,foreign,USA,cultural_info,Down Beach Roasted Fish Sheds,South West,neutral,4.6,True,False
QRY-002378,2026-07-02 21:46,SESS-000951,VIS-00952,text,French,domestic,Far North,pricing,Down Beach & Batoke Beach,South West,neutral,1.8,True,False
QRY-001923,2026-07-02 22:08,SESS-000767,VIS-00768,voice_note,French,foreign,Gabon,pricing,Palais Royal de Foumban & Museum,West,positive,4.2,True,False
QRY-000969,2026-07-02 22:10,SESS-000383,VIS-00384,text,French,foreign,Chad,pricing,Artisanal Village & Flower Market,Littoral,positive,3.3,True,False
QRY-003524,2026-07-02 22:33,SESS-001404,VIS-01405,text,French,domestic,Adamawa,transport_fare,Star Land Hotel Bastos,Centre,positive,3.0,True,False
QRY-003719,2026-07-02 22:41,SESS-001478,VIS-01479,voice_note,English,foreign,USA,directions,L'Ovalie & La Fourchette,Littoral,neutral,3.0,True,False
QRY-001203,2026-07-02 22:44,SESS-000475,VIS-00476,text,English,foreign,USA,general_chat,,South West,positive,3.8,True,False
QRY-002891,2026-07-02 22:50,SESS-001140,VIS-01141,text,French,foreign,France,pricing,Limbe Botanic Garden,South West,positive,2.6,True,False
QRY-005004,2026-07-03 06:21,SESS-001976,VIS-01977,text,English,domestic,West,pricing,Mvog-Betsi Zoo & Botanical Garden,Centre,positive,3.8,True,False
QRY-004750,2026-07-03 06:26,SESS-001877,VIS-01878,text,French,foreign,Nigeria,directions,Grand Batanga & Luma Museum,South,neutral,3.2,True,False
QRY-001176,2026-07-03 06:32,SESS-000462,VIS-00463,text,English,domestic,East,general_chat,,North West,neutral,3.2,True,False
QRY-003112,2026-07-03 06:40,SESS-001240,VIS-01241,text,French,domestic,Littoral,booking_interest,Down Beach & Batoke Beach,South West,positive,3.0,True,False
QRY-000637,2026-07-03 06:47,SESS-000261,VIS-00262,text,French,foreign,Gabon,general_chat,,South West,positive,2.3,True,False
QRY-003723,2026-07-03 07:13,SESS-001479,VIS-01480,text,English,domestic,Littoral,cultural_info,Down Beach Roasted Fish Sheds,South West,neutral,2.8,True,False
QRY-006185,2026-07-03 07:16,SESS-002467,VIS-02468,voice_note,French,foreign,USA,transport_fare,Palais des Rois Bell (Pagode),Littoral,neutral,2.6,True,False
QRY-001028,2026-07-03 07:25,SESS-000406,VIS-00407,text,Pidgin,domestic,North West,directions,Palais des Rois Bell (Pagode),Littoral,positive,2.6,True,False
QRY-004463,2026-07-03 07:36,SESS-001754,VIS-01755,voice_note,English,domestic,East,cultural_info,Musee Maritime de Douala,Littoral,positive,4.2,True,False
QRY-005778,2026-07-03 07:37,SESS-002311,VIS-02312,text,Pidgin,domestic,South West,transport_fare,Monument de la Reunification,Centre,neutral,2.8,True,False
QRY-000830,2026-07-03 07:39,SESS-000327,VIS-00328,text,French,foreign,South Africa,pricing,Seme Beach Hotel,South West,positive,2.7,True,False
QRY-000342,2026-07-03 08:10,SESS-000152,VIS-00153,text,French,foreign,South Africa,pricing,L'Ovalie & La Fourchette,Littoral,neutral,1.8,True,False
QRY-004286,2026-07-03 08:44,SESS-001686,VIS-01687,text,French,domestic,South West,cultural_info,Mont Febe & Golf Club,Centre,neutral,2.5,True,False
QRY-000773,2026-07-03 08:52,SESS-000308,VIS-00309,text,French,foreign,Nigeria,pricing,Limbe Wildlife Centre,South West,positive,3.1,True,False
QRY-004849,2026-07-03 09:27,SESS-001913,VIS-01914,voice_note,French,domestic,Far North,pricing,Mvog-Betsi Zoo & Botanical Garden,Centre,positive,4.0,True,False
QRY-005829,2026-07-03 09:34,SESS-002335,VIS-02336,text,French,foreign,Canada,pricing,Hotel Ilomba,South,neutral,3.3,True,False
QRY-002995,2026-07-03 09:40,SESS-001182,VIS-01183,voice_note,French,domestic,West,pricing,Marche Sandaga & Deido Soya,Littoral,positive,3.2,True,False
QRY-000746,2026-07-03 09:46,SESS-000294,VIS-00295,text,French,foreign,UK,cultural_info,Krystal Palace Douala,Littoral,neutral,1.9,True,False
QRY-004936,2026-07-03 09:50,SESS-001951,VIS-01952,voice_note,French,domestic,North West,opening_hours,Krystal Palace Douala,Littoral,neutral,3.3,True,False
QRY-004460,2026-07-03 10:14,SESS-001754,VIS-01755,text,Pidgin,domestic,North,opening_hours,Hotel Zingana,West,positive,3.3,True,False
QRY-001441,2026-07-03 10:26,SESS-000576,VIS-00577,text,French,domestic,Centre,cultural_info,Mont Febe & Golf Club,Centre,positive,1.5,False,False
QRY-002754,2026-07-03 11:49,SESS-001087,VIS-01088,voice_note,French,domestic,North West,cultural_info,Hotel Zingana,West,neutral,4.6,True,False
QRY-000198,2026-07-03 11:54,SESS-000091,VIS-00092,text,French,domestic,West,cultural_info,Marche Sandaga & Deido Soya,Littoral,positive,3.7,True,False
QRY-004976,2026-07-03 12:03,SESS-001963,VIS-01964,text,French,domestic,North West,cultural_info,Hotel Ilomba,South,neutral,2.9,True,False
QRY-001784,2026-07-03 12:25,SESS-000712,VIS-00713,text,French,domestic,North,pricing,Seme Beach Hotel,South West,neutral,4.9,True,False
QRY-002695,2026-07-03 12:33,SESS-001063,VIS-01064,voice_note,English,foreign,China,transport_fare,Monument de la Reunification,Centre,positive,2.7,True,False
QRY-005565,2026-07-03 12:41,SESS-002220,VIS-02221,text,English,domestic,Far North,cultural_info,Down Beach & Batoke Beach,South West,positive,2.5,True,False
QRY-006119,2026-07-03 12:42,SESS-002440,VIS-02441,voice_note,English,domestic,South,transport_fare,Campo Ma'an National Park,South,negative,4.2,True,False
QRY-004439,2026-07-03 12:46,SESS-001746,VIS-01747,text,French,domestic,Far North,general_chat,,Far North,positive,2.5,True,False
QRY-003721,2026-07-03 13:41,SESS-001478,VIS-01479,voice_note,English,foreign,Nigeria,directions,Musee National de Yaounde,Centre,neutral,3.5,True,False
QRY-006156,2026-07-03 13:46,SESS-002456,VIS-02457,text,French,foreign,Germany,general_chat,,South West,neutral,2.3,True,False
QRY-000169,2026-07-03 13:54,SESS-000079,VIS-00080,text,English,domestic,South West,pricing,Grand Batanga & Luma Museum,South,positive,2.4,False,False
QRY-002879,2026-07-03 14:15,SESS-001137,VIS-01138,text,Pidgin,domestic,Centre,cultural_info,Marche Sandaga & Deido Soya,Littoral,neutral,3.2,True,False
QRY-005876,2026-07-03 14:20,SESS-002357,VIS-02358,text,French,domestic,East,pricing,Mont Febe & Golf Club,Centre,neutral,3.0,True,False
QRY-004641,2026-07-03 14:21,SESS-001834,VIS-01835,voice_note,English,foreign,Germany,pricing,Chez Carimo / Lobe Shacks,South,positive,4.7,True,False
QRY-001442,2026-07-03 14:35,SESS-000577,VIS-00578,text,English,domestic,North West,transport_fare,Palais des Rois Bell (Pagode),Littoral,positive,4.4,True,False
QRY-001727,2026-07-03 15:07,SESS-000690,VIS-00691,text,English,domestic,South,cultural_info,Marche Sandaga & Deido Soya,Littoral,positive,4.1,True,False
QRY-005256,2026-07-03 15:11,SESS-002087,VIS-02088,text,Pidgin,domestic,East,pricing,Krystal Palace Douala,Littoral,negative,2.8,True,False
QRY-004088,2026-07-03 15:14,SESS-001617,VIS-01618,text,French,domestic,West,transport_fare,L'Ovalie & La Fourchette,Littoral,neutral,3.0,True,False
QRY-004167,2026-07-03 15:17,SESS-001646,VIS-01647,text,French,domestic,South West,directions,Marche Sandaga & Deido Soya,Littoral,negative,2.2,True,False
QRY-003566,2026-07-03 15:29,SESS-001417,VIS-01418,voice_note,English,foreign,Nigeria,opening_hours,Chutes de la Lobe,South,neutral,1.2,True,False
QRY-000530,2026-07-03 15:49,SESS-000221,VIS-00222,text,English,foreign,Equatorial Guinea,transport_fare,Marche Sandaga & Deido Soya,Littoral,negative,3.4,True,False
QRY-003827,2026-07-03 16:14,SESS-001526,VIS-01527,voice_note,English,foreign,Canada,opening_hours,Les Gites de Kribi,South,positive,3.0,True,False
QRY-001505,2026-07-03 16:21,SESS-000603,VIS-00604,text,Pidgin,foreign,Gabon,booking_interest,Musee National de Yaounde,Centre,neutral,1.6,True,False
QRY-004748,2026-07-03 16:37,SESS-001876,VIS-01877,text,French,domestic,Adamawa,pricing,Hotel Ilomba,South,neutral,3.9,True,False
QRY-003097,2026-07-03 16:43,SESS-001233,VIS-01234,text,English,domestic,South West,pricing,Marche Sandaga & Deido Soya,Littoral,positive,3.7,True,False
QRY-005474,2026-07-03 16:52,SESS-002178,VIS-02179,text,English,domestic,North,cultural_info,Douala-Edea Wildlife Reserve,Littoral,neutral,3.0,True,False
QRY-000269,2026-07-03 17:23,SESS-000122,VIS-00123,text,French,foreign,Nigeria,directions,Down Beach & Batoke Beach,South West,positive,3.5,True,False
QRY-000607,2026-07-03 18:16,SESS-000254,VIS-00255,voice_note,French,domestic,East,transport_fare,Monument de la Reunification,Centre,neutral,2.5,True,False
QRY-001933,2026-07-03 18:43,SESS-000772,VIS-00773,text,English,domestic,South West,cultural_info,Musee National de Yaounde,Centre,positive,2.3,True,False
QRY-000011,2026-07-03 18:50,SESS-000005,VIS-00006,text,English,foreign,France,pricing,Monument de la Reunification,Centre,neutral,3.3,True,False
QRY-005890,2026-07-03 19:41,SESS-002363,VIS-02364,text,French,foreign,UK,pricing,Star Land Hotel Bastos,Centre,positive,3.7,True,False
QRY-003602,2026-07-03 19:49,SESS-001432,VIS-01433,text,English,foreign,Belgium,general_chat,,Adamawa,neutral,2.7,True,False
QRY-005620,2026-07-03 19:55,SESS-002239,VIS-02240,text,English,domestic,Centre,general_chat,,West,neutral,4.9,True,False
QRY-001091,2026-07-03 20:16,SESS-000429,VIS-00430,voice_note,Pidgin,foreign,Nigeria,cultural_info,Plage de Kribi (Tara Plage),South,positive,2.0,True,False
QRY-006097,2026-07-03 20:35,SESS-002432,VIS-02433,text,French,foreign,UK,opening_hours,Pullman Douala Rabingha,Littoral,positive,3.5,True,False
QRY-002035,2026-07-03 21:07,SESS-000809,VIS-00810,text,French,foreign,Chad,directions,Chez Wou & La Salsa,Centre,neutral,3.1,True,False
QRY-003300,2026-07-03 21:12,SESS-001321,VIS-01322,text,Pidgin,foreign,China,cultural_info,Monument de la Reunification,Centre,positive,4.8,True,False
QRY-001949,2026-07-03 21:22,SESS-000778,VIS-00779,text,French,domestic,Littoral,transport_fare,Rue des Artisans,West,neutral,3.4,True,False
QRY-000659,2026-07-03 21:28,SESS-000270,VIS-00271,text,Pidgin,domestic,North,transport_fare,Palais Royal de Foumban & Museum,West,positive,4.2,True,False
QRY-003595,2026-07-03 21:29,SESS-001429,VIS-01430,voice_note,French,domestic,East,directions,Limbe Wildlife Centre,South West,positive,2.5,True,False
QRY-003022,2026-07-03 21:40,SESS-001192,VIS-01193,text,French,domestic,Far North,emergency_sos,Chez Wou & La Salsa,Centre,negative,1.0,True,True
QRY-003323,2026-07-03 21:47,SESS-001331,VIS-01332,text,French,domestic,Littoral,general_chat,,South West,neutral,4.2,True,False
QRY-003949,2026-07-03 21:56,SESS-001565,VIS-01566,text,English,domestic,Adamawa,cultural_info,Limbe Wildlife Centre,South West,positive,4.3,True,False
QRY-001804,2026-07-03 21:58,SESS-000719,VIS-00720,text,French,foreign,Gabon,directions,Monument de la Reunification,Centre,neutral,2.9,True,False
QRY-005863,2026-07-03 22:12,SESS-002352,VIS-02353,voice_note,English,domestic,Centre,cultural_info,Hilton Yaounde,Centre,positive,3.5,True,False
QRY-000922,2026-07-03 22:29,SESS-000365,VIS-00366,text,French,foreign,USA,cultural_info,Chutes de la Lobe,South,positive,4.4,True,False
QRY-000498,2026-07-03 22:36,SESS-000210,VIS-00211,text,English,foreign,Belgium,emergency_sos,Monument de la Reunification,Centre,negative,0.8,True,True
QRY-001984,2026-07-03 22:38,SESS-000788,VIS-00789,text,French,foreign,Equatorial Guinea,cultural_info,Down Beach & Batoke Beach,South West,positive,2.3,True,False
QRY-004192,2026-07-03 22:54,SESS-001657,VIS-01658,text,English,domestic,North West,pricing,Bimbia Slave Trade Port,South West,negative,5.3,True,False
QRY-002863,2026-07-04 06:08,SESS-001129,VIS-01130,text,French,foreign,South Africa,opening_hours,Hilton Yaounde,Centre,neutral,4.1,True,False
QRY-005253,2026-07-04 07:26,SESS-002087,VIS-02088,voice_note,French,foreign,Germany,opening_hours,Mvog-Betsi Zoo & Botanical Garden,Centre,neutral,4.3,True,False
QRY-000095,2026-07-04 07:37,SESS-000042,VIS-00043,text,French,domestic,Far North,opening_hours,Hotel Ilomba,South,neutral,4.0,True,False
QRY-003077,2026-07-04 07:37,SESS-001223,VIS-01224,text,French,foreign,UK,pricing,Chutes de la Lobe,South,positive,3.0,True,False
QRY-001590,2026-07-04 07:40,SESS-000629,VIS-00630,text,English,foreign,USA,general_chat,,South,positive,3.3,True,False
QRY-003307,2026-07-04 07:43,SESS-001323,VIS-01324,text,French,domestic,South,opening_hours,Plage de Kribi (Tara Plage),South,neutral,5.8,True,False
QRY-001197,2026-07-04 08:19,SESS-000473,VIS-00474,text,English,foreign,Gabon,transport_fare,Down Beach & Batoke Beach,South West,positive,3.1,True,False
QRY-005597,2026-07-04 08:38,SESS-002229,VIS-02230,text,Pidgin,domestic,East,transport_fare,Chez Carimo / Lobe Shacks,South,negative,3.2,True,False
QRY-001046,2026-07-04 08:43,SESS-000411,VIS-00412,voice_note,French,domestic,South,pricing,Star Land Hotel Bastos,Centre,neutral,3.1,True,False
QRY-004902,2026-07-04 08:59,SESS-001939,VIS-01940,text,French,domestic,Littoral,emergency_sos,Limbe Botanic Garden,South West,negative,1.6,True,True
QRY-005423,2026-07-04 09:05,SESS-002156,VIS-02157,text,English,domestic,Centre,cultural_info,Monument de la Reunification,Centre,neutral,2.8,True,False
QRY-005554,2026-07-04 09:11,SESS-002215,VIS-02216,voice_note,French,domestic,West,transport_fare,Krystal Palace Douala,Littoral,neutral,3.8,True,False
QRY-003543,2026-07-04 09:21,SESS-001410,VIS-01411,text,French,domestic,South,booking_interest,Rue des Artisans,West,positive,1.2,True,False
QRY-005488,2026-07-04 09:37,SESS-002183,VIS-02184,text,English,foreign,Belgium,pricing,Chefferie de Bandjoun,West,positive,5.5,True,False
QRY-005487,2026-07-04 10:03,SESS-002182,VIS-02183,voice_note,French,domestic,North,pricing,Bimbia Slave Trade Port,South West,positive,2.4,True,False
QRY-004447,2026-07-04 10:08,SESS-001750,VIS-01751,voice_note,English,domestic,Adamawa,booking_interest,Plage de Kribi (Tara Plage),South,neutral,4.4,True,False
QRY-001559,2026-07-04 10:43,SESS-000621,VIS-00622,voice_note,English,domestic,Far North,pricing,Limbe Wildlife Centre,South West,neutral,3.2,True,False
QRY-000833,2026-07-04 10:51,SESS-000329,VIS-00330,text,English,foreign,UK,cultural_info,Down Beach Roasted Fish Sheds,South West,positive,3.0,True,False
QRY-001546,2026-07-04 10:52,SESS-000617,VIS-00618,text,French,domestic,South,general_chat,,Centre,positive,2.3,True,False
QRY-000700,2026-07-04 11:44,SESS-000281,VIS-00282,text,English,domestic,Littoral,pricing,West Region Gastronomy Spots,West,positive,2.0,True,False
QRY-002645,2026-07-04 11:45,SESS-001047,VIS-01048,text,English,domestic,South,cultural_info,Pullman Douala Rabingha,Littoral,neutral,3.9,True,False
QRY-004728,2026-07-04 11:56,SESS-001869,VIS-01870,text,English,foreign,Equatorial Guinea,transport_fare,Artisanal Village & Flower Market,Littoral,neutral,3.0,True,False
QRY-002778,2026-07-04 12:35,SESS-001097,VIS-01098,text,English,domestic,South,transport_fare,Mvog-Betsi Zoo & Botanical Garden,Centre,neutral,3.7,True,False
QRY-001361,2026-07-04 13:02,SESS-000538,VIS-00539,voice_note,Pidgin,domestic,Littoral,general_chat,,Far North,positive,4.6,True,False
QRY-005556,2026-07-04 13:15,SESS-002217,VIS-02218,text,English,domestic,South,general_chat,,North West,neutral,4.9,True,False
QRY-000216,2026-07-04 14:08,SESS-000102,VIS-00103,text,English,domestic,Adamawa,transport_fare,FINI Hotel Bobende,South West,positive,2.2,True,False
QRY-003338,2026-07-04 14:15,SESS-001338,VIS-01339,text,French,domestic,North,opening_hours,Pullman Douala Rabingha,Littoral,neutral,2.5,True,False
QRY-000341,2026-07-04 14:33,SESS-000151,VIS-00152,text,French,domestic,South West,booking_interest,Chez Wou & La Salsa,Centre,neutral,3.0,True,False
QRY-003950,2026-07-04 14:36,SESS-001565,VIS-01566,text,English,foreign,Equatorial Guinea,general_chat,,West,neutral,3.9,True,False
QRY-001591,2026-07-04 14:36,SESS-000630,VIS-00631,text,English,foreign,Nigeria,booking_interest,Musee Maritime de Douala,Littoral,positive,4.2,True,False
QRY-004371,2026-07-04 14:43,SESS-001721,VIS-01722,voice_note,French,domestic,Adamawa,cultural_info,L'Ovalie & La Fourchette,Littoral,neutral,3.2,True,False
QRY-000931,2026-07-04 14:48,SESS-000370,VIS-00371,text,English,domestic,North,pricing,Palais Royal de Foumban & Museum,West,neutral,2.6,True,False
QRY-004382,2026-07-04 14:49,SESS-001727,VIS-01728,text,Pidgin,foreign,Chad,cultural_info,Palais Royal de Foumban & Museum,West,positive,3.2,True,False
QRY-003552,2026-07-04 14:51,SESS-001412,VIS-01413,text,French,domestic,North,cultural_info,Grand Batanga & Luma Museum,South,neutral,3.8,True,False
QRY-003774,2026-07-04 15:21,SESS-001505,VIS-01506,voice_note,French,foreign,Canada,pricing,Grand Batanga & Luma Museum,South,positive,3.7,True,False
QRY-001311,2026-07-04 16:07,SESS-000515,VIS-00516,voice_note,English,domestic,North,transport_fare,Hilton Yaounde,Centre,neutral,4.1,True,False
QRY-002057,2026-07-04 16:08,SESS-000819,VIS-00820,voice_note,English,domestic,Centre,cultural_info,Palais Royal de Foumban & Museum,West,neutral,3.0,True,False
QRY-002982,2026-07-04 16:09,SESS-001174,VIS-01175,text,French,foreign,Germany,cultural_info,Down Beach & Batoke Beach,South West,positive,2.6,True,False
QRY-005566,2026-07-04 16:13,SESS-002220,VIS-02221,text,French,foreign,Gabon,cultural_info,Chefferie de Bandjoun,West,neutral,2.9,True,False
QRY-005206,2026-07-04 16:19,SESS-002065,VIS-02066,text,French,domestic,North,pricing,Down Beach Roasted Fish Sheds,South West,positive,4.0,False,False
QRY-002665,2026-07-04 16:25,SESS-001053,VIS-01054,text,French,domestic,Littoral,pricing,Mount Cameroon (Upper Farms),South West,neutral,3.3,True,False
QRY-000055,2026-07-04 16:25,SESS-000022,VIS-00023,text,English,domestic,South West,pricing,Palais des Rois Bell (Pagode),Littoral,neutral,1.9,True,False
QRY-002048,2026-07-04 17:14,SESS-000814,VIS-00815,voice_note,English,domestic,North West,cultural_info,Seme Beach Hotel,South West,neutral,3.9,True,False
QRY-004510,2026-07-04 17:16,SESS-001775,VIS-01776,voice_note,French,domestic,South,cultural_info,Grand Batanga & Luma Museum,South,neutral,4.3,True,False
QRY-004605,2026-07-04 17:23,SESS-001821,VIS-01822,text,French,domestic,Littoral,transport_fare,Domaine du Petpenoun,West,neutral,3.0,True,False
QRY-005848,2026-07-04 17:39,SESS-002346,VIS-02347,text,French,domestic,North,general_chat,,Littoral,positive,3.5,True,False
QRY-004527,2026-07-04 17:49,SESS-001787,VIS-01788,text,Pidgin,foreign,Nigeria,directions,Musee National de Yaounde,Centre,positive,3.2,True,False
QRY-002570,2026-07-04 18:04,SESS-001026,VIS-01027,text,French,foreign,Nigeria,transport_fare,Marche Sandaga & Deido Soya,Littoral,neutral,2.4,True,False
QRY-000212,2026-07-04 18:11,SESS-000099,VIS-00100,text,French,domestic,West,cultural_info,Rue des Artisans,West,positive,2.7,True,False
QRY-004340,2026-07-04 18:24,SESS-001708,VIS-01709,text,Pidgin,foreign,Chad,pricing,Rue des Artisans,West,positive,4.3,True,False
QRY-004155,2026-07-04 18:31,SESS-001642,VIS-01643,text,Pidgin,domestic,South West,directions,Musee National de Yaounde,Centre,neutral,2.5,True,False
QRY-002765,2026-07-04 18:35,SESS-001091,VIS-01092,text,French,foreign,Germany,opening_hours,Chutes de la Lobe,South,positive,5.1,False,False
QRY-004892,2026-07-04 18:46,SESS-001936,VIS-01937,text,English,domestic,North West,opening_hours,Pullman Douala Rabingha,Littoral,positive,3.9,True,False
QRY-004067,2026-07-04 18:46,SESS-001609,VIS-01610,text,French,domestic,East,transport_fare,Rue des Artisans,West,positive,3.9,True,False
QRY-000884,2026-07-04 19:06,SESS-000349,VIS-00350,text,English,foreign,Chad,directions,Plage de Kribi (Tara Plage),South,positive,5.1,True,False
QRY-001077,2026-07-04 19:12,SESS-000425,VIS-00426,text,French,foreign,Nigeria,pricing,Star Land Hotel Bastos,Centre,negative,3.1,True,False
QRY-001491,2026-07-04 19:35,SESS-000597,VIS-00598,text,Pidgin,domestic,Adamawa,pricing,FINI Hotel Bobende,South West,neutral,3.8,True,False
QRY-000584,2026-07-04 19:46,SESS-000246,VIS-00247,text,English,foreign,UK,cultural_info,Chez Wou & La Salsa,Centre,positive,1.0,True,False
QRY-000691,2026-07-04 20:24,SESS-000279,VIS-00280,voice_note,French,domestic,Far North,pricing,Mount Cameroon (Upper Farms),South West,positive,3.2,True,False
QRY-006010,2026-07-04 20:24,SESS-002404,VIS-02405,text,French,foreign,UK,transport_fare,Hilton Yaounde,Centre,negative,3.4,True,False
QRY-004539,2026-07-04 21:55,SESS-001791,VIS-01792,text,English,foreign,Equatorial Guinea,pricing,Pullman Douala Rabingha,Littoral,positive,2.6,True,False
QRY-003168,2026-07-04 22:02,SESS-001265,VIS-01266,text,French,foreign,South Africa,general_chat,,North West,positive,4.5,True,False
QRY-000538,2026-07-04 22:08,SESS-000225,VIS-00226,text,French,foreign,South Africa,cultural_info,Palais des Rois Bell (Pagode),Littoral,positive,3.1,True,False
QRY-004362,2026-07-04 22:10,SESS-001715,VIS-01716,text,English,domestic,Adamawa,booking_interest,L'Ovalie & La Fourchette,Littoral,positive,3.0,True,False
QRY-001333,2026-07-04 22:16,SESS-000529,VIS-00530,text,French,domestic,South West,transport_fare,Hotel Ilomba,South,neutral,1.9,True,False
QRY-000510,2026-07-04 22:22,SESS-000214,VIS-00215,text,English,domestic,South West,directions,Campo Ma'an National Park,South,positive,2.8,True,False
QRY-003905,2026-07-04 22:30,SESS-001552,VIS-01553,text,French,domestic,Centre,transport_fare,Limbe Wildlife Centre,South West,neutral,2.0,True,False
QRY-000382,2026-07-04 22:45,SESS-000169,VIS-00170,text,French,foreign,South Africa,pricing,Limbe Botanic Garden,South West,positive,2.7,True,False
QRY-002144,2026-07-04 22:59,SESS-000851,VIS-00852,voice_note,French,foreign,Chad,booking_interest,Mefou Primate Sanctuary,Centre,neutral,2.5,True,False
QRY-005006,2026-07-05 06:02,SESS-001978,VIS-01979,text,French,foreign,Chad,booking_interest,Les Gites de Kribi,South,positive,1.9,True,False
QRY-002313,2026-07-05 06:11,SESS-000923,VIS-00924,voice_note,English,domestic,North,opening_hours,Plage de Kribi (Tara Plage),South,neutral,4.5,True,False
QRY-002987,2026-07-05 06:13,SESS-001178,VIS-01179,text,English,domestic,South West,directions,Palais Royal de Foumban & Museum,West,positive,5.0,True,False
QRY-003260,2026-07-05 06:41,SESS-001303,VIS-01304,text,Pidgin,domestic,Littoral,opening_hours,Palais des Rois Bell (Pagode),Littoral,neutral,3.0,True,False
QRY-003359,2026-07-05 07:02,SESS-001345,VIS-01346,text,French,foreign,UK,cultural_info,Seme Beach Hotel,South West,positive,3.7,True,False
QRY-003519,2026-07-05 07:23,SESS-001402,VIS-01403,voice_note,French,domestic,East,transport_fare,Limbe Wildlife Centre,South West,negative,4.3,True,False
QRY-002120,2026-07-05 07:39,SESS-000842,VIS-00843,text,English,domestic,East,opening_hours,West Region Gastronomy Spots,West,neutral,3.2,True,False
QRY-001761,2026-07-05 07:46,SESS-000703,VIS-00704,text,English,domestic,North West,transport_fare,Musee Maritime de Douala,Littoral,neutral,4.2,True,False
QRY-000157,2026-07-05 07:49,SESS-000072,VIS-00073,text,English,foreign,China,pricing,Down Beach & Batoke Beach,South West,neutral,3.1,True,False
QRY-001879,2026-07-05 07:54,SESS-000749,VIS-00750,text,Pidgin,domestic,North,booking_interest,Hilton Yaounde,Centre,positive,4.5,True,False
QRY-000401,2026-07-05 08:00,SESS-000175,VIS-00176,text,French,domestic,Adamawa,cultural_info,West Region Gastronomy Spots,West,neutral,2.1,True,False
QRY-000981,2026-07-05 08:51,SESS-000389,VIS-00390,text,French,foreign,France,opening_hours,Down Beach Roasted Fish Sheds,South West,positive,4.0,True,False
